O*NET-SOC Code,Title,Originality,Problem Sensitivity,Inductive Reasoning,Innovation,Analytical Thinking,Critical Thinking,Active Learning,Complex Problem Solving,"Judging the Qualities of Things, Services, or People",Making Decisions and Solving Problems,Updating and Using Relevant Knowledge,Developing Objectives and Strategies
11-1011.00,Chief Executives,4.25,5,5,4.27,4.45,4.75,4.75,5,5.39,6.18,4.92,5.68
11-1011.03,Chief Sustainability Officers,4,4.25,4.25,4.38,4.31,4.12,3.75,4.25,4.27,5.4,5.54,5.12
11-1021.00,General and Operations Managers,3.38,3.88,3.38,3.65,4.03,4,3.62,3.75,4.43,4.48,4.53,3.77
11-2011.00,Advertising and Promotions Managers,3.88,4,3.88,3.99,3.88,4.12,4.12,3.88,3.66,4.18,4.49,3.9
11-2021.00,Marketing Managers,4,3.88,3.88,4.15,4,4.25,4.12,3.88,3.53,4.67,4.52,4.17
11-2022.00,Sales Managers,3.88,3.88,4,4.13,4.14,4,3.88,3.88,3.96,5.26,4.87,4.78
11-2031.00,Public Relations and Fundraising Managers,4,4,3.75,3.68,3.79,4,3.5,3.88,4.09,4.6,4.93,4.8
11-3011.00,Administrative Services Managers,3.12,3.75,3.38,3.85,4.04,3.88,3.38,3.12,3.94,4.67,4.99,3.34
11-3021.00,Computer and Information Systems Managers,3.5,4,4,3.7,4.25,4,3.88,3.88,4.79,5.16,5.35,4.63
11-3031.01,Treasurers and Controllers,3.38,4.75,4.12,3.57,4.63,4.5,4.25,4.12,4.38,6.1,5.3,5.34
11-3031.02,"Financial Managers, Branch or Department",3.75,4,3.75,3.33,3.87,4,4,3.5,4,4.77,4.66,3.77
11-3051.00,Industrial Production Managers,3.88,4,4,3.85,4.12,4.12,4,3.75,4.71,5.24,4.7,4.03
11-3051.01,Quality Control Systems Managers,3.38,4.25,4,3.84,4.64,4.12,4,4,4.32,5.42,5.21,4.03
11-3051.02,Geothermal Production Managers,3.25,4.12,3.38,4.35,4.41,3.88,3.25,3.62,4.92,5.02,4.85,3.76
11-3051.03,Biofuels Production Managers,3.5,3.75,3.88,4.06,4.29,3.88,3.62,3.75,4.46,5,4.76,3.26
11-3051.04,Biomass Power Plant Managers,3.5,4.62,3.62,4.08,4.22,4,3.38,3.75,3.95,4.55,4.44,4.01
11-3051.06,Hydroelectric Production Managers,3.25,4.12,3.75,3.68,4.19,4,3.62,3.75,4.33,5.1,4.81,4.12
11-3061.00,Purchasing Managers,3.75,3.88,3.88,3.67,4.29,4,3.88,3.25,3.81,5.1,4.62,4.38
11-3071.01,Transportation Managers,3.5,4,3.75,3.67,3.82,4,3.62,3.5,4.09,4.85,4.4,3.65
11-3071.02,Storage and Distribution Managers,3.12,3.88,3.75,3.88,4.17,4,3.25,3.12,4.26,4.88,4.61,4.21
11-3071.03,Logistics Managers,3.38,4.12,3.88,3.67,4.23,4.25,4.12,3.88,4.23,4.87,4.8,4.33
11-3111.00,Compensation and Benefits Managers,3.12,3.25,3.38,3.62,4.57,4,3.75,3.25,4.29,4.95,5.24,4.38
11-3121.00,Human Resources Managers,3.88,4,4,3.58,4.12,4.12,4,3.75,4.96,5.46,5.38,4.54
11-3131.00,Training and Development Managers,4,3.88,4,3.67,3.89,4,4.25,4,4.33,4.81,5.3,4.44
11-9013.01,Nursery and Greenhouse Managers,3.38,3.88,3.63,3.92,4.41,3.88,3.25,3,4.57,5.21,4.92,4.11
11-9013.02,Farm and Ranch Managers,3.38,4.12,3.88,4.06,3.64,4.12,3.5,3.5,3,4.9,4.65,4.91
11-9013.03,Aquacultural Managers,3.25,4,3.88,3.95,3.9,3.62,3.5,3.25,3.2,4.63,4.53,3.63
11-9021.00,Construction Managers,3.5,4,4,3.16,3.92,4,3.88,3.88,4.04,5.12,4.8,4.2
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",3.5,4,3.88,3.97,3.56,4,3.88,3.5,3.74,4.49,4.23,3.56
11-9032.00,"Education Administrators, Elementary and Secondary School",4,4.5,4.12,4.17,4.38,4.38,4.12,4.25,4.56,5.51,4.68,4.75
11-9033.00,"Education Administrators, Postsecondary",4,3.88,4.12,3.97,4.18,4.25,4,4,4.86,5.53,5.34,4.71
11-9039.01,Distance Learning Coordinators,3.62,3.62,3.88,4.36,4.14,4.12,4.38,3.5,4.33,5.45,5.82,4.64
11-9039.02,Fitness and Wellness Coordinators,3.75,3.88,3.5,3.83,3.46,3.88,3.5,3.12,3.88,4.29,4.62,3.5
11-9041.00,Architectural and Engineering Managers,4.12,4.38,4.38,3.67,4.39,4.25,4.25,4.12,4.01,5.25,5.27,3.9
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.12,4,4.12,3.7,4.42,4.12,3.75,3.88,4.62,5.28,5.56,4.57
11-9051.00,Food Service Managers,3,3.75,3,3.59,3.64,3.75,3.75,3,2.5,2.37,2.91,1.93
11-9061.00,Funeral Service Managers,2.62,3.38,3.12,3.36,3.33,3.62,3,3,3.46,4.04,3.82,2.2
11-9071.00,Gaming Managers,3,3.88,3.88,3.71,3.77,4,3.62,3.25,4.12,4.75,4.31,3.05
11-9081.00,Lodging Managers,3.62,3.75,3.25,4.09,4.52,3.88,3.88,3.25,3.22,5.05,3.6,4.07
11-9111.00,Medical and Health Services Managers,3.5,4,4,3.88,4.19,4,4,3.38,4.65,5.32,5.68,4.58
11-9121.00,Natural Sciences Managers,4.12,4.12,4.75,3.88,4.33,4.38,4.88,4.25,4.42,4.9,6,4.44
11-9121.01,Clinical Research Coordinators,3.38,4.12,3.88,3.2,3.66,4,4.12,3.75,3.31,5.74,5.67,3.22
11-9121.02,Water Resource Specialists,3.38,3.75,4,3.41,4.46,4,3.75,3.88,4.28,5.69,5.55,4.83
11-9131.00,Postmasters and Mail Superintendents,3,3.38,3.12,3.77,4.06,3.88,3.12,3.12,3.78,4.62,4.03,3.82
11-9141.00,"Property, Real Estate, and Community Association Managers",3,3.75,3.62,3.46,4.04,4,3.38,3.12,3.85,5.04,4.85,4.19
11-9151.00,Social and Community Service Managers,3.75,4,3.88,3.89,4.17,4.12,3.88,4.12,3.54,4.42,4.71,4.04
11-9161.00,Emergency Management Directors,3.88,4.5,4.25,3.76,4.28,4.38,4.38,5.25,4.29,5.92,5.24,5.16
11-9199.01,Regulatory Affairs Managers,3.38,3.88,3.5,3.45,4.12,4.12,3.62,3.38,3.48,4.74,5.42,4.33
11-9199.02,Compliance Managers,3,4.38,4.12,3.03,4.41,4.25,3.88,3.5,4.21,4.75,5.31,3.76
11-9199.03,Investment Fund Managers,3.5,4.25,4.12,3.35,4.79,4,3.88,3.88,4.85,5.49,5.2,4.17
11-9199.04,Supply Chain Managers,3.25,4,3.88,3.9,4.33,4,3.75,4,4.05,5.19,5,4.81
11-9199.07,Security Managers,3.62,4.38,4.12,3.7,4.1,4,3.38,3.75,4.6,5.25,5.05,4
11-9199.08,Loss Prevention Managers,3.5,4.12,3.88,3.75,4.25,4,3.62,3.62,4.44,4.58,4.79,4.44
11-9199.09,Wind Energy Operations Managers,3.38,3.88,3.62,3.56,4.17,3.88,3.5,3.5,4.44,4.86,4.87,4.05
11-9199.10,Wind Energy Project Managers,3.25,4,4,3.47,3.79,4.25,4,3.25,4.69,5.32,4.95,3.96
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,3.62,4.5,4.25,3.54,4.32,4.12,3.62,4.12,3.88,5.04,4.8,4.38
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.25,3.75,3.88,4.03,3.98,3.75,3.12,2.88,4.17,4.57,4.23,3.37
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3,3.12,3.38,3.08,4.27,3.75,3.12,3,3.73,4.65,4.77,3.95
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.12,3.5,3.38,3.58,3.83,4,3.88,3.12,3.35,4.42,4.72,3.12
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3,3.75,4,3.65,4.1,4.12,4.12,3.88,4.33,4.58,4.45,3.7
13-1031.01,"Claims Examiners, Property and Casualty Insurance",2.75,3.5,4,3.52,4.2,4,3.38,3.12,4.23,4.82,4.77,3.14
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",2.25,3.5,3.75,2.89,4.06,4.25,3.38,3,4.15,4.01,4.46,1.63
13-1032.00,"Insurance Appraisers, Auto Damage",2.62,3.62,3.5,2.99,3.12,3.75,3,2.88,4.15,4.38,4.55,2.62
13-1041.01,Environmental Compliance Inspectors,2.88,4.88,4.62,2.71,4.29,4.25,4.12,4,3.52,4.24,5.19,3.1
13-1041.02,Licensing Examiners and Inspectors,3,3.62,3.88,3.34,4.23,3.88,3,3,2.99,4.44,4.11,3.02
13-1041.03,Equal Opportunity Representatives and Officers,3.5,4.12,4,3.13,4.48,4.5,4,3.62,4.54,5.15,5.08,3.24
13-1041.04,Government Property Inspectors and Investigators,3,4.25,4.25,3.43,3.81,4.12,3.38,3.38,4.04,4.73,4.31,4.01
13-1041.06,Coroners,3,4,4.5,3.68,4.26,4.12,3.75,3.25,3.87,4.74,5.23,3.52
13-1041.07,Regulatory Affairs Specialists,3.38,4.12,3.88,3.5,4.38,4.38,3.75,3.62,3.7,4.55,5.3,4.03
13-1051.00,Cost Estimators,3,3.25,4,3.59,4.73,4.25,3.88,3.62,3.91,4.86,5.18,3.45
13-1071.00,Human Resources Specialists,3.12,3.62,3.62,3.84,3.94,4,3.25,3.12,4,4.17,4.15,3.46
13-1074.00,Farm Labor Contractors,2,3.25,2.88,2.97,3.31,3.25,2.38,2.75,2.83,2.92,1.82,1.57
13-1075.00,Labor Relations Specialists,3.75,4,3.75,3.9,4.5,4,3.88,3.62,4.6,5.35,4.9,4.42
13-1081.00,Logisticians,3.88,4.12,4,3.62,4.25,4.12,3.5,3.88,3.5,5.12,4.78,4.38
13-1081.01,Logistics Engineers,4,4.12,4.12,3.68,4.27,4.12,4,3.88,3.9,4.95,5.14,4.18
13-1081.02,Logistics Analysts,3.88,3.88,3.75,3.88,4.44,4,4,3.75,4.08,5.15,5,4.58
13-1111.00,Management Analysts,3.5,4.12,4.12,4.31,4.81,4.12,3.75,4,5.31,5.81,5.54,5.5
13-1121.00,"Meeting, Convention, and Event Planners",3.62,4,3.38,4.07,3.81,3.88,3.12,3.5,4.04,4.12,4.33,3.65
13-1131.00,Fundraisers,3.5,3.25,3.62,3.45,3.78,3.88,3.25,3.25,4.12,4.68,4.56,4.53
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.25,3.75,3.75,3.71,4.62,4,3.62,3.75,3.58,5.04,5.29,3.71
13-1151.00,Training and Development Specialists,3.88,3.62,3.5,3.97,3.94,4,3.75,3.12,4.08,5.06,5.53,4.33
13-1161.00,Market Research Analysts and Marketing Specialists,3.38,3.88,4.25,3.83,4.96,4,4,3.75,4.18,5.39,5.78,4.7
13-1199.01,Energy Auditors,3.12,3.88,3.88,3.36,4.32,3.75,3.25,3.25,3.23,4.32,4.59,2.59
13-1199.02,Security Management Specialists,3.38,4.12,4,3.5,4.23,3.88,3.38,3.62,4.38,4.84,5.65,4.27
13-1199.03,Customs Brokers,3,3.12,3.12,2.95,3.68,3.88,3.62,3.12,3.11,4.26,5,3.26
13-1199.04,Business Continuity Planners,3.88,4.62,4,3.36,4.09,4.5,3.75,4.75,3.86,4.64,4.68,4.45
13-1199.05,Sustainability Specialists,3.5,3.62,3.62,3.89,4.25,3.88,3.25,3.62,3.89,4.68,5.18,4.41
13-1199.06,Online Merchants,2.88,3,3.38,3.82,3.92,3.88,3.12,3,4.31,5.14,4.63,3.37
13-2011.01,Accountants,3,3.75,3.88,2.99,4.21,3.75,3.25,3.12,3.13,4.42,4.09,3.78
13-2011.02,Auditors,3.38,4.12,4.38,3.14,4.67,4,3.75,4,3.9,5.62,5.86,3.95
13-2021.01,Assessors,3,3.12,3.62,3.08,3.97,4,3.38,3.12,5.26,4.34,5.26,3.23
13-2021.02,"Appraisers, Real Estate",2.62,3.25,3.88,2.8,4.35,3.88,3.38,3,4.25,4.55,4.4,2.65
13-2031.00,Budget Analysts,2.88,3.88,3.88,3.02,4.59,3.88,3.38,3.5,2.7,4.42,4.94,3.32
13-2041.00,Credit Analysts,2.75,4.25,4,2.6,4.43,4.38,3.88,3.38,3.33,4.23,3.93,2.33
13-2051.00,Financial Analysts,3.12,4,3.88,3.69,4.99,4.12,3.88,3.62,4.16,5.17,4.91,3.55
13-2052.00,Personal Financial Advisors,3,4,3.88,3.14,4.32,4,3.38,3.5,4.29,5.92,5.23,5.43
13-2053.00,Insurance Underwriters,2.75,3.75,3.88,2.7,4.57,3.88,3.38,3.12,3.87,4.67,4.47,2.38
13-2061.00,Financial Examiners,3.5,4.25,4.12,3,4.64,4.5,4,4,4.44,5.48,5.24,4.04
13-2071.00,Credit Counselors,3.25,4,3.62,3.06,3.84,3.75,3.5,3.25,2.18,3.66,4.7,3.15
13-2071.01,Loan Counselors,3,3.62,3.62,2.86,3.4,4,3.62,3,3.41,2.87,3.95,2.5
13-2072.00,Loan Officers,2.12,3.38,3.62,3.65,4.24,4,3.12,3.25,3.04,4.37,4.65,2.86
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",2.75,3.12,3.75,3.77,4.38,3.62,3.62,3,3.5,5.07,4.91,2.86
13-2082.00,Tax Preparers,2.62,3,3.12,2.55,3.9,3.62,3.12,3.12,3.15,3.68,5.16,2.4
13-2099.01,Financial Quantitative Analysts,3.5,4.12,4.75,3.96,4.91,4.62,4,4.12,3.78,5.65,5.57,4.7
13-2099.02,Risk Management Specialists,3.38,4.75,4.25,3.76,4.52,4.25,3.75,3.88,4.52,4.71,4.86,4.1
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.12,3.88,4.12,3.84,4.5,4.12,3.5,3.5,4.48,4.96,5.36,4
15-1111.00,Computer and Information Research Scientists,4,4.5,4.38,4.06,4.14,4.25,4.88,4,4.34,5.87,6.13,3.94
15-1121.00,Computer Systems Analysts,3.75,4.12,4.12,3.72,4.71,4.25,4.12,3.88,3.32,4.75,5.25,3.22
15-1121.01,Informatics Nurse Specialists,4.12,4,4,4,4.45,4.25,4.62,4.12,4.3,5.45,5.8,4.35
15-1122.00,Information Security Analysts,3.25,4.12,4.12,3.7,4.44,4.12,3.88,3.62,3.67,4.62,5.73,3.62
15-1131.00,Computer Programmers,3.25,3.75,3.88,4,4.74,3.88,3.25,3.88,3.75,4.98,5.44,3.86
15-1132.00,"Software Developers, Applications",3.88,4,4,4.35,4.85,4,3.62,4.12,3.02,4.48,5.79,3.68
15-1133.00,"Software Developers, Systems Software",3.5,4,3.88,4.1,4.57,3.75,3,3.38,2.36,5.23,5.92,3.5
15-1134.00,Web Developers,3.62,3.75,3.38,3.92,4.17,3.88,3.62,3.62,3.5,4.96,5.5,3.83
15-1141.00,Database Administrators,3.75,4,3.88,3.76,4.56,4.12,3.88,4,3.49,4.85,5.42,3.93
15-1142.00,Network and Computer Systems Administrators,3.62,4,4,3.95,4.5,3.88,3.75,4,3.05,4.79,5.47,3.36
15-1143.00,Computer Network Architects,3.5,3.75,4,3.86,4.59,4.25,3.62,4.12,4.09,5.64,5.86,4.27
15-1143.01,Telecommunications Engineering Specialists,3.25,3.75,3.5,4.09,4.39,3.5,3.62,3.5,4.13,4.78,5.86,3.55
15-1151.00,Computer User Support Specialists,3,3.5,3.62,3.39,4.38,4,3.25,3.25,2.83,3.89,5.52,2.75
15-1152.00,Computer Network Support Specialists,3.12,3.5,3.62,3.88,4.51,3.75,3.38,3.25,3.06,3.86,5.84,2.81
15-1199.01,Software Quality Assurance Engineers and Testers,3.25,3.75,4,3.5,4.65,3.88,3,3.25,3.7,4.56,5.59,3.59
15-1199.02,Computer Systems Engineers/Architects,4,4.12,4,4.37,4.67,3.88,4,4,4.76,5.48,6.28,4.48
15-1199.03,Web Administrators,3.25,4,3.88,4,4.5,4.12,3.75,3.88,2.75,5,5.65,3.9
15-1199.04,Geospatial Information Scientists and Technologists,3.25,3.88,4,3.74,4.39,4,3.75,3.88,4.22,5.3,5.87,4.13
15-1199.05,Geographic Information Systems Technicians,3.25,3.38,3.62,4.6,4.72,3.88,3.62,3.5,3.76,4.31,5.83,4.13
15-1199.06,Database Architects,3.5,4,3.88,3.92,4.88,4.25,3.62,4,3.79,5.5,5.67,4.71
15-1199.07,Data Warehousing Specialists,3.25,3.5,3.88,3.96,4.91,3.88,3.25,3.5,3.13,4.91,5.52,3.74
15-1199.08,Business Intelligence Analysts,3.5,3.62,4.5,3.87,4.87,4.38,4,3.75,4.5,4.96,5.96,4.75
15-1199.09,Information Technology Project Managers,3.38,3.75,3.62,3.32,4.13,4.25,3.62,3.75,4.26,4.97,5.06,4.1
15-1199.10,Search Marketing Strategists,3.88,3.5,3.75,4.22,4.7,3.75,3.75,4,2.87,4.87,5.52,4.22
15-1199.11,Video Game Designers,4.12,3.62,3.88,4.67,4.48,3.88,3.62,3.62,3.71,5.24,5.29,3.81
15-1199.12,Document Management Specialists,3.38,3.5,3.5,3.76,4.32,3.75,3.38,3.5,3.48,4.25,5.28,3.33
15-2011.00,Actuaries,3.5,4.38,4.62,3.22,4.81,4.75,4.12,4.62,3.72,5.84,5.5,4.42
15-2021.00,Mathematicians,5,3.75,4.88,4.48,4.91,5,5.25,4.62,3.42,5.54,5.71,4.21
15-2031.00,Operations Research Analysts,4,4.12,4.38,4.35,5,4.38,4.12,4.38,3.1,5.65,5.95,4.2
15-2041.00,Statisticians,3.62,3.88,4.5,3.68,4.76,4.5,4.38,3.88,3.48,5.44,5.32,3.56
15-2041.01,Biostatisticians,3.88,4.38,4.88,3.8,4.8,4.88,4.62,4.38,4.16,5.24,6.16,3.68
15-2041.02,Clinical Data Managers,3.38,3.88,3.88,3.15,4.1,4.25,4,3.62,3.85,4.55,5.1,3.85
15-2091.00,Mathematical Technicians,2.6,3.4,2.8,NA,NA,5,4.83,4.23,3.16,4.66,4.66,2.33
17-1011.00,"Architects, Except Landscape and Naval",4.38,4.62,4.12,4.04,4.44,4.62,4.25,4.12,4.37,5.48,5.44,4.59
17-1012.00,Landscape Architects,3.88,3.88,4,4.18,3.86,3.75,3.75,3.75,4.07,5.43,5.18,4.11
17-1021.00,Cartographers and Photogrammetrists,3,3.38,4,3.85,3.59,3.75,3.38,3.12,3.38,4.17,5.35,3.36
17-1022.00,Surveyors,2.88,3.62,4,3.33,4.47,4,3.38,3.25,3.68,5.39,4.87,3.61
17-1022.01,Geodetic Surveyors,3.12,3.75,4.12,3.35,4.5,4,3.88,3.88,4.5,5.45,5.75,3.75
17-2011.00,Aerospace Engineers,4.12,4.12,4.25,3.97,4.51,4.62,3.88,4.25,4.5,5.84,6.02,3.58
17-2021.00,Agricultural Engineers,3.5,4.25,4.12,4.04,4.46,4.25,3.88,4.38,4.12,5.31,5.62,4.35
17-2031.00,Biomedical Engineers,4.75,4.75,4.75,4.13,4.37,4.75,4.75,4.62,4.43,5.83,6.03,4.73
17-2041.00,Chemical Engineers,4.12,4.62,4.62,4.19,4.86,4.88,4.5,4.38,4.32,5.23,5.73,3.82
17-2051.00,Civil Engineers,4,4.88,4.12,3.65,4.13,4.5,4.5,4.12,4.39,5.55,5.27,4.45
17-2051.01,Transportation Engineers,3.88,4.5,4.12,3.59,4.55,4.12,4,4.12,3.59,5.59,5.14,3.77
17-2061.00,Computer Hardware Engineers,3.62,4,4,4.05,4.62,4,3.88,4.25,3.95,5,5.9,3.15
17-2071.00,Electrical Engineers,3.38,4.25,4,3.56,4.43,4,3.38,3.75,3.91,5.23,5.41,3.45
17-2072.00,"Electronics Engineers, Except Computer",3.88,4.12,4,4.3,4.53,4,3.75,4.12,4.14,4.76,5.85,3.53
17-2072.01,Radio Frequency Identification Device Specialists,3.12,3.5,3.75,4.14,4.39,3.88,3.5,3.62,3.85,5.58,5.65,4.52
17-2081.00,Environmental Engineers,3.88,4.5,4.5,3.81,4.63,4.38,4.12,4.25,4.81,5.62,5.73,4.8
17-2081.01,Water/Wastewater Engineers,3.88,4.38,4.25,3.76,4.66,4.38,4.38,4.62,4.71,5.75,5.5,4.68
17-2111.01,Industrial Safety and Health Engineers,3.88,5,4.88,3.65,4.16,4.25,4.38,4.12,3.77,5.07,4.84,3.9
17-2111.02,Fire-Prevention and Protection Engineers,4,4.38,4,3.5,4.32,4.12,4,4,4.04,5.36,5.36,3.96
17-2111.03,Product Safety Engineers,3.12,4.5,4.25,3.5,4.18,4.12,3.38,3.5,4.68,5.18,5.41,3.77
17-2112.00,Industrial Engineers,3.5,4,4,4.14,4.45,4.12,3.62,4,3.84,5.02,5.02,3.19
17-2112.01,Human Factors Engineers and Ergonomists,3.88,4.5,4.5,4.04,4.79,4.38,4,4.12,3.79,5.48,5.71,4.04
17-2121.01,Marine Engineers,4,4.25,4.5,3.7,4.17,4.38,4.38,4.12,4.3,4.96,5.35,3.22
17-2121.02,Marine Architects,4.12,4.38,4.25,3.91,4.64,4.38,4.5,4.25,3.45,4.81,4.9,3.16
17-2131.00,Materials Engineers,4.12,4.25,4.38,4.15,4.64,4.38,4.5,4,4.67,5.26,5.64,4.38
17-2141.00,Mechanical Engineers,4,4.12,4.12,4.64,4.78,4.25,4.38,4.75,3.95,4.64,4.99,3.22
17-2141.01,Fuel Cell Engineers,3.75,4.25,4.12,4.33,4.46,4.12,3.75,3.5,4.12,5.09,5.67,4.62
17-2141.02,Automotive Engineers,4.5,4.25,4.75,3.87,4.61,4.5,4.62,4.38,4.45,5.43,5.61,4.48
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.88,4.5,4.62,3.57,4.77,4.5,4.12,4.38,4.17,5.27,5.25,4.04
17-2161.00,Nuclear Engineers,3.62,4.88,4.25,2.93,4.59,4.75,4.12,4.38,4.7,5.41,4.81,3.62
17-2171.00,Petroleum Engineers,3.62,4.12,4.25,4.05,4.51,4.25,3.75,4.12,4.79,5.02,5.2,3.9
17-2199.01,Biochemical Engineers,4,4.62,4.88,4,4.44,4.12,4.12,4,4.8,5.36,5.68,4.8
17-2199.02,Validation Engineers,3.12,4.12,4.12,2.9,4.3,4.12,3.62,4,4.65,5.05,5.26,3.55
17-2199.03,Energy Engineers,3.62,4.12,4.12,4.18,4.73,4.12,3.88,4,4.14,5.45,5.23,4.27
17-2199.04,Manufacturing Engineers,4.12,4.38,4.38,3.92,4.42,4,4.5,4.25,4.31,5,4.92,3.8
17-2199.05,Mechatronics Engineers,4,4.25,4.38,4.52,4.35,4.12,3.88,4.12,2.85,4.94,5.57,3.31
17-2199.06,Microsystems Engineers,4,4.25,4.38,4.32,4.66,4.12,3.88,4.25,3.02,4.94,5.5,3.73
17-2199.07,Photonics Engineers,4.62,4.12,4.5,4,4.57,4.75,5,4,3.35,5.39,5.39,3.65
17-2199.08,Robotics Engineers,4.62,4.5,4.5,4.2,4.5,4.62,4.5,4.12,3.87,5.03,5.87,4
17-2199.09,Nanosystems Engineers,4.25,4.38,4.88,4.33,4.54,4.5,5,4.25,4.29,5.62,6,4.46
17-2199.10,Wind Energy Engineers,3.62,3.75,3.88,4.01,4.63,4.5,3.75,4,3.73,4.83,4.95,3.57
17-2199.11,Solar Energy Systems Engineers,3.75,4,4,3.73,4.05,3.88,3.62,3.5,3.76,4.48,5.1,3.14
17-3011.01,Architectural Drafters,3.5,3.88,3.62,4.09,3.98,3.88,3.5,3.5,3.25,4.06,5.08,3.12
17-3011.02,Civil Drafters,3,3.12,3.12,3.43,3.9,3.38,2.88,3.12,2.48,4.33,5.38,2.95
17-3012.01,Electronic Drafters,3,3.38,3.5,3.86,3.96,3.62,3.25,3,2.19,4.02,4.18,2.47
17-3012.02,Electrical Drafters,3,3.5,3.5,3.38,3.95,3.38,3,3.25,1.84,3.22,4.98,2.17
17-3013.00,Mechanical Drafters,3.38,3.5,3.5,4.02,4.34,3.25,3.62,3.12,3,3.83,4.55,2.52
17-3021.00,Aerospace Engineering and Operations Technicians,3,4,3.75,4.14,4.44,3.62,3.25,3.38,4.44,4.5,5.59,3.34
17-3022.00,Civil Engineering Technicians,2.88,3.88,3.75,3.74,4.08,3.62,3,3.25,3.1,4.21,4.68,2.4
17-3023.01,Electronics Engineering Technicians,3,3.88,3.88,3.62,4.17,3.38,3,3.12,3.73,4.17,4.56,2.51
17-3023.03,Electrical Engineering Technicians,3,3.88,3.62,3.79,4.24,3.88,3.25,3.25,3.52,4.53,4.98,2.81
17-3024.00,Electro-Mechanical Technicians,2.5,3.75,3.5,3.54,4.23,3.75,3,3.12,2.53,4.17,4.25,2.34
17-3024.01,Robotics Technicians,3.25,4,4,3.68,4.32,4,3.62,3.62,3.86,4.45,4.82,2.82
17-3025.00,Environmental Engineering Technicians,3,4.12,4,2.98,3.8,4,3.88,3.38,3.35,3.88,3.9,2.85
17-3026.00,Industrial Engineering Technicians,3.62,3.88,4,3.75,4.3,3.88,3.62,3.88,3.26,4.84,4.58,3.18
17-3027.00,Mechanical Engineering Technicians,3.25,4,3.75,3.46,4.24,3.75,3.25,3.25,3.81,5.33,5.4,3.55
17-3027.01,Automotive Engineering Technicians,3.25,3.75,3.5,3.89,4.11,3.38,3.12,3.25,3.3,4.19,5.15,2.74
17-3029.01,Non-Destructive Testing Specialists,2.75,4.12,4,3,3.8,3.5,3.5,3.12,4,4.4,4.55,2.4
17-3029.02,Electrical Engineering Technologists,3,3.75,3.75,3.76,4.54,3.88,3.5,3.75,4.09,5.11,5.38,3.62
